ds,variable,value
2016-11-21,actual,2964696.66666667
2016-11-28,actual,2848525
2016-12-05,actual,2740160
2016-12-12,actual,2380508.33333333
2016-12-19,actual,2230915
2016-12-26,actual,3659425
2017-01-02,actual,2827008.33333333
2017-01-09,actual,2042143.33333333
2017-01-16,actual,2113358.33333333
2017-01-23,actual,2179918.33333333
2017-01-30,actual,2370613.33333333
2017-02-06,actual,1814556.66666667
2017-02-13,actual,1951668.33333333
2017-02-20,actual,1918238.33333333
2017-02-27,actual,1472390
2017-03-06,actual,1477865
2017-03-13,actual,1300166.66666667
2017-03-20,actual,1160205
2017-03-27,actual,1356871.66666667
2017-04-03,actual,1355833.33333333
2017-04-10,actual,1176266.66666667
2017-04-17,actual,1955281.66666667
2017-04-24,actual,1029928.33333333
2017-05-01,actual,2263143.33333333
2017-05-08,actual,813771.666666667
2017-05-15,actual,880871.666666667
2017-05-22,actual,919185
2017-05-29,actual,826321.666666667
2017-06-05,actual,833798.333333333
2017-06-12,actual,746271.666666667
2017-06-19,actual,1036406.66666667
2017-06-26,actual,927931.666666667
2017-07-03,actual,1126943.33333333
2017-07-10,actual,1184220
2017-07-17,actual,1315508.33333333
2017-07-24,actual,1279360
2017-07-31,actual,1455811.66666667
2017-08-07,actual,1553355
2017-08-14,actual,1374855
2017-08-21,actual,1970110
2017-08-28,actual,2336431.66666667
2017-09-04,actual,2002065
2017-09-11,actual,2027418.33333333
2017-09-18,actual,1886570
2017-09-25,actual,2529721.66666667
2017-10-02,actual,2357930
2017-10-09,actual,3003391.66666667
2017-10-16,actual,2283685
2017-10-23,actual,2584721.66666667
2017-10-30,actual,2565400
2017-11-06,actual,3407085
2017-11-13,actual,2803291.66666667
2017-11-20,actual,3303155
2017-11-27,actual,3103743.33333333
2017-12-04,actual,2793875
2017-12-11,actual,2260396.66666667
2017-12-18,actual,2399176.66666667
2017-12-25,actual,3827520
2018-01-01,actual,3109461.66666667
2018-01-08,actual,2228128.33333333
2018-01-15,actual,2202593.33333333
2018-01-22,actual,1918293.33333333
2018-01-29,actual,1862458.33333333
2018-02-05,actual,1975951.66666667
2018-02-12,actual,1827318.33333333
2018-02-19,actual,1656268.33333333
2018-02-26,actual,1703790
2018-03-05,actual,1488115
2018-03-12,actual,1727330
2018-03-19,actual,1208246.66666667
2018-03-26,actual,1388960
2018-04-02,actual,2408331.66666667
2018-04-09,actual,1131721.66666667
2018-04-16,actual,950015
2018-04-23,actual,801298.333333333
2018-04-30,actual,779838.333333334
2018-05-07,actual,889546.666666667
2018-05-14,actual,862850
2018-05-21,actual,2601601.66666667
2018-05-28,actual,905008.333333334
2018-06-04,actual,910551.666666667
2018-06-11,actual,923853.333333333
2018-06-18,actual,982420
2018-06-25,actual,1056811.66666667
2018-07-02,actual,932326.666666667
2018-07-09,actual,1126221.66666667
2018-07-16,actual,1140006.66666667
2018-07-23,actual,1479303.33333333
2018-07-30,actual,1647193.33333333
2018-08-06,actual,2009478.33333333
2018-08-13,actual,1523443.33333333
2018-08-20,actual,1420118.33333333
2016-11-21,predicted,2904979.5760986535
2016-11-28,predicted,2807060.9829887026
2016-12-05,predicted,2645957.5001019966
2016-12-12,predicted,2424936.6114097624
2016-12-19,predicted,1919090.2956657403
2016-12-26,predicted,3818382.729512412
2017-01-02,predicted,2934694.1408461914
2017-01-09,predicted,2315101.8125860817
2017-01-16,predicted,2148039.715925203
2017-01-23,predicted,2159996.2782328716
2017-01-30,predicted,2230331.689594552
2017-02-06,predicted,1798807.3468654577
2017-02-13,predicted,1859156.2922326222
2017-02-20,predicted,1867216.2824882553
2017-02-27,predicted,1500411.9863203883
2017-03-06,predicted,1535565.2495817156
2017-03-13,predicted,1291969.489865032
2017-03-20,predicted,1332596.9907819496
2017-03-27,predicted,1336892.7440692128
2017-04-03,predicted,1228075.9150505052
2017-04-10,predicted,1145653.7152597152
2017-04-17,predicted,2059330.6546248933
2017-04-24,predicted,996048.8234542604
2017-05-01,predicted,1411955.7926009884
2017-05-08,predicted,911841.8036587588
2017-05-15,predicted,959066.1488366545
2017-05-22,predicted,879422.5810543749
2017-05-29,predicted,818991.407381153
2017-06-05,predicted,1111556.1261382005
2017-06-12,predicted,683813.8878469651
2017-06-19,predicted,990835.487255303
2017-06-26,predicted,938874.0466217443
2017-07-03,predicted,1115966.0452457597
2017-07-10,predicted,1068608.8944948027
2017-07-17,predicted,1366383.3519514855
2017-07-24,predicted,1288220.5062154215
2017-07-31,predicted,1431386.4779081873
2017-08-07,predicted,1571396.2181096543
2017-08-14,predicted,1481561.3668266202
2017-08-21,predicted,1870468.9284733182
2017-08-28,predicted,2296453.1555324406
2017-09-04,predicted,2122753.536433604
2017-09-11,predicted,2117337.952628248
2017-09-18,predicted,2013926.6002771405
2017-09-25,predicted,2507760.3026873334
2017-10-02,predicted,2693580.3231505575
2017-10-09,predicted,2915406.2582068304
2017-10-16,predicted,2530119.4923194875
2017-10-23,predicted,2652236.94893109
2017-10-30,predicted,2370979.168620826
2017-11-06,predicted,3133620.440171407
2017-11-13,predicted,2801619.390038377
2017-11-20,predicted,3047289.5065359045
2017-11-27,predicted,3082240.394781179
2017-12-04,predicted,2679968.6107601547
2017-12-11,predicted,2377964.6204837537
2017-12-18,predicted,2624357.230698312
2017-12-25,predicted,3325816.954430294
2018-01-01,predicted,2776722.181028378
2018-01-08,predicted,2393010.8481849106
2018-01-15,predicted,2337880.4998018406
2018-01-22,predicted,2106411.90152813
2018-01-29,predicted,1901736.1708952705
2018-02-05,predicted,2034907.4003750205
2018-02-12,predicted,1795948.987611759
2018-02-19,predicted,1656537.0639876686
2018-02-26,predicted,1736566.8722759918
2018-03-05,predicted,1488219.253637137
2018-03-12,predicted,1844294.9098750097
2018-03-19,predicted,1293759.2195695976
2018-03-26,predicted,1440956.755132814
2018-04-02,predicted,2229563.3322482333
2018-04-09,predicted,1187859.2108253976
2018-04-16,predicted,976252.2985937888
2018-04-23,predicted,823920.3801239487
2018-04-30,predicted,1175157.2791486771
2018-05-07,predicted,802100.2519933323
2018-05-14,predicted,925776.4343484736
2018-05-21,predicted,2555671.112765756
2018-05-28,predicted,912901.7703314151
2018-06-04,predicted,861012.3092873386
2018-06-11,predicted,825941.030237635
2018-06-18,predicted,949780.4561496186
2018-06-25,predicted,1080005.4664111687
2018-07-02,predicted,1007859.7156859204
2018-07-09,predicted,1208692.184950181
2018-07-16,predicted,1149285.945676517
2018-07-23,predicted,1457455.480023074
2018-07-30,predicted,1558623.8503264547
2018-08-06,predicted,1942562.3261027948
2018-08-13,predicted,1537456.6821001084
2018-08-20,predicted,1659935.304570829
